epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.79,1.56923,2.45802,1.6414,0.50357,0.4424,0.42582,0.18311,2.00406,1.90174,2.09304,0.00055473,0.00055473,0.00055473
2,208.245,1.68459,1.92498,1.75962,0.66075,0.5383,0.5833,0.2568,1.73631,1.55884,1.86976,0.00103711,0.00103711,0.00103711
3,312.695,1.65915,1.79327,1.73818,0.63058,0.57315,0.60361,0.27279,1.75976,1.54634,1.85714,0.00144614,0.00144614,0.00144614
4,418.258,1.59062,1.63866,1.68605,0.70129,0.62463,0.68808,0.32406,1.66198,1.32048,1.77274,0.00133693,0.00133693,0.00133693
5,524.855,1.56184,1.53796,1.66567,0.78246,0.67288,0.74192,0.35836,1.57032,1.14558,1.70779,0.00122691,0.00122691,0.00122691
6,630.324,1.51428,1.23469,1.6893,0.57479,0.66001,0.63306,0.32316,1.50221,1.4914,1.71491,0.00111689,0.00111689,0.00111689
7,732.222,1.45621,1.11697,1.64824,0.74407,0.72404,0.7697,0.40282,1.44448,1.04378,1.61648,0.00100687,0.00100687,0.00100687
8,832.466,1.41222,1.03331,1.60408,0.83855,0.7442,0.82592,0.44114,1.40642,0.88609,1.59285,0.000896846,0.000896846,0.000896846
9,932.274,1.37391,0.95813,1.57284,0.84747,0.8031,0.87906,0.47838,1.32967,0.80954,1.50577,0.000786824,0.000786824,0.000786824
10,1031.59,1.34126,0.90264,1.54197,0.8356,0.80443,0.86708,0.47856,1.33488,0.78303,1.51036,0.000676802,0.000676802,0.000676802
11,1132.02,1.3046,0.84681,1.51656,0.84477,0.81865,0.88007,0.49231,1.30044,0.75668,1.4813,0.00056678,0.00056678,0.00056678
12,1231.69,1.27455,0.79885,1.48694,0.86963,0.83549,0.89122,0.49718,1.27811,0.72104,1.4731,0.000456758,0.000456758,0.000456758
13,1331.45,1.23386,0.75726,1.45279,0.9112,0.86432,0.92256,0.52349,1.26571,0.65123,1.44107,0.000346736,0.000346736,0.000346736
14,1432.72,1.20767,0.71879,1.43206,0.89038,0.86576,0.91936,0.52859,1.25312,0.63891,1.42484,0.000236714,0.000236714,0.000236714
15,1530.33,1.17157,0.67665,1.40004,0.9025,0.88772,0.92021,0.52989,1.23808,0.61604,1.41758,0.000126692,0.000126692,0.000126692
